MAL_ID,Name,Anime-1,Anime-2,Anime-3,Anime-4,Anime-5
1,Cowboy Bebop,205,6,889,400,20057
5,Cowboy Bebop: Tengoku no Tobira,1796,,,,
6,Trigun,1,45,25,4981,24439
7,Witch Hunter Robin,790,202,339,2030,1601
8,Bouken Ou Beet,,,,,
15,Eyeshield 21,263,5040,1559,857,
16,Hachimitsu to Clover,31646,1698,13759,4081,10460
17,Hungry Heart: Wild Striker,,,,,
18,Initial D Fourth Stage,2608,,,,
19,Monster,1535,13601,239,33,6114
20,Naruto,21,11061,31964,6702,269
21,One Piece,6702,11061,20,223,813
22,Tennis no Ouji-sama,11771,21185,627,28171,185
23,Ring ni Kakero 1,,,,,
24,School Rumble,4224,853,66,23289,245
25,Sunabouzu,6,,,,
26,Texhnolyze,790,339,2216,13601,202
27,Trinity Blood,270,45,1,4581,239
28,Yakitate!! Japan,28171,24629,10033,135,
29,Zipang,9253,2881,19,,
30,Neon Genesis Evangelion,9756,339,165,2001,35849
31,Neon Genesis Evangelion: Death & Rebirth,,,,,
32,Neon Genesis Evangelion: The End of Evangelion,11981,47,441,885,32979
33,Kenpuu Denki Berserk,1818,35120,19,777,967
43,Koukaku Kidoutai,47,13601,339,1096,8100
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,617,2418,33,1033,1952
45,Rurouni Kenshin: Meiji Kenkaku Romantan,6,918,20507,205,269
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,496,,,,
47,Akira,43,30,226,32,570
48,.hack//Sign,11757,2164,22547,272,59
49,Aa! Megami-sama!,1144,,,,
50,Aa! Megami-sama! (TV),146,31376,1372,,
51,Tenshi Kinryouku,7058,,,,
52,Kidou Tenshi Angelic Layer,232,,,,
53,Ai Yori Aoshi,,,,,
54,Appleseed (Movie),2746,43,21339,1361,548
55,Arc the Lad,347,,,,
56,Avenger,48,,,,
57,Beck,12531,5680,1698,322,7674
58,Blue Gender,19775,1818,1136,1299,
59,Chobits,63,5678,16528,13759,276
60,Chrno Crusade,1482,5530,121,68,9919
61,D.N.Angel,142,15613,721,8915,16
62,D.C.: Da Capo,1581,694,4744,2167,
63,DearS,59,5958,268,,
64,Rozen Maiden,356,8915,17247,31229,
65,Rozen Maiden: Träumend,356,,,,
66,Azumanga Daioh,1887,10165,2963,24,7791
67,Basilisk: Kouga Ninpou Chou,1699,618,4151,4854,269
68,Black Cat (TV),132,60,889,2001,
69,Cluster Edge,16890,168,,,
71,Full Metal Panic!,218,22729,21437,10447,3712
72,Full Metal Panic? Fumoffu,,,,,
73,Full Metal Panic! The Second Raid,889,1519,,,
74,Gakuen Alice,1486,33299,23579,,
75,Soukyuu no Fafner: Dead Aggressor,93,6288,,,
76,Mahou Shoujo Lyrical Nanoha,232,15793,17919,10155,
77,Mahou Shoujo Lyrical Nanoha A's,,,,,
79,Shuffle!,7088,3455,5958,9922,248
80,Mobile Suit Gundam,237,302,21437,,
81,Mobile Suit Gundam: The 08th MS Team,31973,1,2257,,
82,Mobile Suit Gundam 0080: War in the Pocket,5469,2585,,,
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,,,,,
84,Mobile Suit Gundam 0083: Stardust Memory,474,949,,,
85,Mobile Suit Zeta Gundam,474,,,,
86,Mobile Suit Gundam ZZ,10780,,,,
87,Mobile Suit Gundam: Char's Counterattack,17269,820,,,
88,Mobile Suit Gundam F91,3015,,,,
89,Mobile Suit Victory Gundam,,,,,
90,Mobile Suit Gundam Wing,,,,,
91,Mobile Suit Gundam Wing: Endless Waltz,,,,,
92,After War Gundam X,97,,,,
93,Mobile Suit Gundam SEED,75,593,25731,2581,31251
94,Mobile Suit Gundam SEED Destiny,25731,,,,
95,Turn A Gundam,182,,,,
96,Mobile Fighter G Gundam,890,813,2321,263,537
97,Last Exile,237,9314,19117,1051,431
98,Mai-HiME,9756,10087,1602,60,6213
99,Mai-Otome,15793,4725,,,
100,Shin Shirayuki-hime Densetsu Prétear,530,123,3615,232,9756
101,Air,1530,2167,2924,6547,9989
102,Aishiteruze Baby??,,,,,
103,Akazukin Chacha,727,34745,,,
