MAL_ID,Name,Anime-1,Anime-2,Anime-3,Anime-4,Anime-5
1,Cowboy Bebop,205,6,889,400,20057
5,Cowboy Bebop: Tengoku no Tobira,4106,,,,
6,Trigun,1,45,25,27,411
7,Witch Hunter Robin,790,270,202,20053,
8,Bouken Ou Beet,127,,,,
15,Eyeshield 21,1604,263,22,11771,5040
16,Hachimitsu to Clover,31646,1698,13759,4081,10460
17,Hungry Heart: Wild Striker,170,7661,263,21,16894
18,Initial D Fourth Stage,,,,,
19,Monster,121,13125,279,,
20,Naruto,34572,21,11061,31964,6702
21,One Piece,6702,11061,20,918,223
22,Tennis no Ouji-sama,11771,15,263,18507,2159
23,Ring ni Kakero 1,,,,,
24,School Rumble,4224,853,6347,66,23289
25,Sunabouzu,6,1,857,1944,1292
26,Texhnolyze,790,10357,,,
27,Trinity Blood,270,6,3457,269,6500
28,Yakitate!! Japan,28171,110,12431,918,11061
29,Zipang,28907,,,,
30,Neon Genesis Evangelion,227,1210,145,10721,874
31,Neon Genesis Evangelion: Death & Rebirth,,,,,
32,Neon Genesis Evangelion: The End of Evangelion,23327,,,,
33,Kenpuu Denki Berserk,8086,967,404,44,1454
43,Koukaku Kidoutai,5681,,,,
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,617,1292,33,37521,
45,Rurouni Kenshin: Meiji Kenkaku Romantan,6,918,205,249,269
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,,,,,
47,Akira,544,1177,23079,,
48,.hack//Sign,2164,132,,,
49,Aa! Megami-sama!,201,1222,53,,
50,Aa! Megami-sama! (TV),53,2104,195,5958,4063
51,Tenshi Kinryouku,,,,,
52,Kidou Tenshi Angelic Layer,19319,232,59,14237,13599
53,Ai Yori Aoshi,189,50,20541,2167,1530
54,Appleseed (Movie),,,,,
55,Arc the Lad,,,,,
56,Avenger,2030,,,,
57,Beck,877,12531,3702,5680,1698
58,Blue Gender,4186,13391,,,
59,Chobits,63,226,27775,5958,5678
60,Chrno Crusade,1482,121,68,9919,249
61,D.N.Angel,142,7592,177,335,100
62,D.C.: Da Capo,1581,4744,13367,8861,9587
63,DearS,59,5958,241,6166,3455
64,Rozen Maiden,356,355,2923,210,16355
65,Rozen Maiden: Träumend,6707,1195,,,
66,Azumanga Daioh,1887,10165,2963,24,5680
67,Basilisk: Kouga Ninpou Chou,20,,,,
68,Black Cat (TV),2025,132,60,6,45
69,Cluster Edge,,,,,
71,Full Metal Panic!,1575,2581,1691,218,16524
72,Full Metal Panic? Fumoffu,,,,,
73,Full Metal Panic! The Second Raid,5507,889,,,
74,Gakuen Alice,1486,1808,6586,2923,120
75,Soukyuu no Fafner: Dead Aggressor,19775,266,16668,,
76,Mahou Shoujo Lyrical Nanoha,232,9756,14283,1502,99
77,Mahou Shoujo Lyrical Nanoha A's,14829,,,,
79,Shuffle!,2476,2167,1530,3455,4744
80,Mobile Suit Gundam,865,516,,,
81,Mobile Suit Gundam: The 08th MS Team,71,1,,,
82,Mobile Suit Gundam 0080: War in the Pocket,,,,,
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,,,,,
84,Mobile Suit Gundam 0083: Stardust Memory,90,,,,
85,Mobile Suit Zeta Gundam,,,,,
86,Mobile Suit Gundam ZZ,2598,10780,34382,,
87,Mobile Suit Gundam: Char's Counterattack,,,,,
88,Mobile Suit Gundam F91,,,,,
89,Mobile Suit Victory Gundam,160,1690,,,
90,Mobile Suit Gundam Wing,84,,,,
91,Mobile Suit Gundam Wing: Endless Waltz,,,,,
92,After War Gundam X,,,,,
93,Mobile Suit Gundam SEED,16668,1249,71,,
94,Mobile Suit Gundam SEED Destiny,,,,,
95,Turn A Gundam,2598,,,,
96,Mobile Fighter G Gundam,813,8934,1735,154,
97,Last Exile,6444,16524,,,
98,Mai-HiME,356,10087,435,60,25519
99,Mai-Otome,879,5781,9367,76,6205
100,Shin Shirayuki-hime Densetsu Prétear,530,123,12461,232,120
101,Air,1530,2167,1965,4181,9989
102,Aishiteruze Baby??,,,,,
103,Akazukin Chacha,331,1293,530,3036,2916
104,Ayashi no Ceres,123,,,,
105,Boys Be...,5150,8676,2129,,
106,Hana yori Dango,853,3470,5835,145,6117
107,Ou Dorobou Jing,486,3298,6,,
108,Ou Dorobou Jing in Seventh Heaven,,,,,
109,Bakuretsu Tenshi,71,610,,,
110,Chuuka Ichiban!,28171,28,,,
