MAL_ID,Name,Anime-1,Anime-2,Anime-3,Anime-4,Anime-5
1,Cowboy Bebop,205,6,889,400,20057
5,Cowboy Bebop: Tengoku no Tobira,21339,1796,,,
6,Trigun,1,270,245,1397,1194
7,Witch Hunter Robin,2025,270,202,150,339
8,Bouken Ou Beet,,,,,
15,Eyeshield 21,263,5040,5231,,
16,Hachimitsu to Clover,31646,1698,10460,877,1222
17,Hungry Heart: Wild Striker,,,,,
18,Initial D Fourth Stage,2608,,,,
19,Monster,1535,37525,3002,5114,790
20,Naruto,34572,21,11061,31964,6702
21,One Piece,6702,11061,20,223,3588
22,Tennis no Ouji-sama,3568,,,,
23,Ring ni Kakero 1,,,,,
24,School Rumble,66,20031,7647,,
25,Sunabouzu,1292,,,,
26,Texhnolyze,790,2216,13125,267,467
27,Trinity Blood,270,8915,,,
28,Yakitate!! Japan,,,,,
29,Zipang,,,,,
30,Neon Genesis Evangelion,9756,339,165,237,1575
31,Neon Genesis Evangelion: Death & Rebirth,,,,,
32,Neon Genesis Evangelion: The End of Evangelion,11981,2761,,,
33,Kenpuu Denki Berserk,267,35120,16498,8086,26
43,Koukaku Kidoutai,47,13601,339,2593,570
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,67,2418,4981,,
45,Rurouni Kenshin: Meiji Kenkaku Romantan,918,5114,,,
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,,,,,
47,Akira,43,30,570,5053,474
48,.hack//Sign,11757,5530,31859,457,34866
49,Aa! Megami-sama!,,,,,
50,Aa! Megami-sama! (TV),,,,,
51,Tenshi Kinryouku,,,,,
52,Kidou Tenshi Angelic Layer,18041,,,,
53,Ai Yori Aoshi,710,,,,
54,Appleseed (Movie),2746,,,,
55,Arc the Lad,209,,,,
56,Avenger,2030,252,,,
57,Beck,877,12531,3702,5680,1698
58,Blue Gender,,,,,
59,Chobits,27775,201,48,4081,
60,Chrno Crusade,68,1250,98,,
61,D.N.Angel,721,,,,
62,D.C.: Da Capo,79,4744,,,
63,DearS,,,,,
64,Rozen Maiden,16355,,,,
65,Rozen Maiden: Träumend,,,,,
66,Azumanga Daioh,2963,24,5680,6347,8676
67,Basilisk: Kouga Ninpou Chou,44,618,,,
68,Black Cat (TV),2025,132,60,1,246
69,Cluster Edge,,,,,
71,Full Metal Panic!,3572,,,,
72,Full Metal Panic? Fumoffu,,,,,
73,Full Metal Panic! The Second Raid,,,,,
74,Gakuen Alice,1486,,,,
75,Soukyuu no Fafner: Dead Aggressor,30,93,878,1690,6288
76,Mahou Shoujo Lyrical Nanoha,17919,99,,,
77,Mahou Shoujo Lyrical Nanoha A's,,,,,
79,Shuffle!,62,,,,
80,Mobile Suit Gundam,,,,,
81,Mobile Suit Gundam: The 08th MS Team,,,,,
82,Mobile Suit Gundam 0080: War in the Pocket,1347,,,,
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,,,,,
84,Mobile Suit Gundam 0083: Stardust Memory,474,949,,,
85,Mobile Suit Zeta Gundam,474,,,,
86,Mobile Suit Gundam ZZ,,,,,
87,Mobile Suit Gundam: Char's Counterattack,6336,,,,
88,Mobile Suit Gundam F91,,,,,
89,Mobile Suit Victory Gundam,,,,,
90,Mobile Suit Gundam Wing,22729,,,,
91,Mobile Suit Gundam Wing: Endless Waltz,,,,,
92,After War Gundam X,,,,,
93,Mobile Suit Gundam SEED,1575,75,16668,3572,165
94,Mobile Suit Gundam SEED Destiny,,,,,
95,Turn A Gundam,182,,,,
96,Mobile Fighter G Gundam,269,6702,1264,,
97,Last Exile,237,3089,1575,2002,
98,Mai-HiME,9756,10087,60,11741,25731
99,Mai-Otome,76,,,,
100,Shin Shirayuki-hime Densetsu Prétear,530,232,,,
101,Air,1530,2167,2924,721,1689
102,Aishiteruze Baby??,,,,,
103,Akazukin Chacha,,,,,
104,Ayashi no Ceres,,,,,
105,Boys Be...,145,,,,
106,Hana yori Dango,1579,,,,
107,Ou Dorobou Jing,3588,,,,
108,Ou Dorobou Jing in Seventh Heaven,,,,,
109,Bakuretsu Tenshi,5356,2030,,,
110,Chuuka Ichiban!,28171,,,,
111,Corrector Yui,,,,,
112,Chou Henshin Cosprayers,964,,,,
113,Uchuu no Stellvia,879,,,,
114,Sakigake!! Cromartie Koukou,8939,20899,,,
115,El Hazard: The Alternative World,,,,,
116,El Hazard: The Wanderers,,,,,
117,El Hazard: The Magnificent World,,,,,
118,El Hazard 2: The Magnificent World,,,,,
119,Final Approach,,,,,
120,Fruits Basket,6045,4081,145,1579,122
121,Fullmetal Alchemist,21,6,944,14075,35848
122,Full Moon wo Sagashite,1516,721,521,877,2044
123,Fushigi Yuugi,,,,,
124,Fushigi Yuugi: Eikouden,,,,,
125,Futakoi,2129,,,,
126,Futakoi Alternative,,,,,
127,Gate Keepers,,,,,
128,Gate Keepers 21,,,,,
129,Gensoumaden Saiyuuki,25183,,,,
130,Saiyuuki Reload,,,,,
131,Saiyuuki Reload Gunlock,,,,,
132,GetBackers,68,271,,,
133,Green Green,,,,,
134,Gunslinger Girl,5682,272,9756,889,477
135,Hikaru no Go,1535,1579,2594,7674,
136,Hunter x Hunter,20,392,5114,12431,33
137,Hunter x Hunter: Original Video Animation,,,,,
138,Hunter x Hunter: Greed Island,,,,,
139,Hunter x Hunter: Greed Island Final,,,,,
141,Jinki:Extend,,,,,
142,Kamikaze Kaitou Jeanne,,,,,
143,Kannazuki no Miko,4725,9756,879,,
144,Kanon,,,,,
145,Kareshi Kanojo no Jijou,7054,30,6045,120,105
146,Kono Minikuku mo Utsukushii Sekai,,,,,
147,Kimi ga Nozomu Eien,,,,,
148,Kita e.: Diamond Dust Drops,,,,,
149,Loveless,,,,,
150,Blood+,1818,7,1454,,
151,Re: Cutey Honey,8795,5053,,,
152,Solty Rei,958,,,,
153,Juuni Kokuki,1827,5041,35062,,
154,Shaman King,,,,,
155,X/1999,,,,,
156,X,,,,,
157,Mahou Sensei Negima!,,,,,
158,Maria-sama ga Miteru,5030,795,27989,,
159,Boukyaku no Senritsu,,,,,
160,"Ima, Soko ni Iru Boku",486,226,,,
161,Peace Maker Kurogane,,,,,
162,Pita Ten,,,,,
163,Power Stone,,,,,
164,Mononoke Hime,572,457,1140,4177,512
165,RahXephon,30,237,93,1575,182
166,Samurai 7,249,43697,,,
167,Scrapped Princess,25013,6802,,,
168,s.CRY.ed,16498,,,,
169,Shingetsutan Tsukihime,226,1965,10087,,
170,Slam Dunk,11771,292,16894,18179,19647
171,Strange Dawn,,,,,
173,Tactics,251,,,,
174,Tenjou Tenge,41353,,,,
175,Tokyo Underground,,,,,
176,Triangle Heart: Sweet Songs Forever,5356,,,,
177,Tsubasa Chronicle,5530,9756,1250,11757,356
178,Ultra Maniac,2923,,,,
179,Ultra Maniac OVA,,,,,
180,Vandread,,,,,
181,Vandread: The Second Stage,,,,,
182,Tenkuu no Escaflowne,440,165,207,812,6
183,Whistle!,,,,,
184,Xenosaga The Animation,48471,,,,
185,Initial D First Stage,263,857,6675,5040,627
186,Initial D Second Stage,,,,,
187,Initial D Third Stage,,,,,
188,Gosenzo San'e,,,,,
189,Love Hina,1453,,,,
190,Love Hina Again,,,,,
191,Love Hina Christmas Special: Silent Eve,,,,,
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,,,,,
193,Maburaho,,,,,
194,Macross Zero,,,,,
195,Onegai?Teacher,,,,,
196,Onegai?Twins,,,,,
197,Rizelmine,1568,,,,
198,Speed Grapher,2025,,,,
199,Sen to Chihiro no Kamikakushi,431,9760,512,38985,16664
200,Tenshi na Konamaiki,245,,,,
201,Video Girl Ai,59,,,,
