MAL_ID,Name,Anime-1,Anime-2,Anime-3,Anime-4,Anime-5
1,Cowboy Bebop,205,6,889,400,20057
5,Cowboy Bebop: Tengoku no Tobira,4106,21339,1226,122,1811
6,Trigun,1,45,25,27,411
7,Witch Hunter Robin,2025,790,13601,467,270
8,Bouken Ou Beet,417,136,11061,249,138
15,Eyeshield 21,1604,263,22,11771,5040
16,Hachimitsu to Clover,31646,1698,13759,4081,10460
17,Hungry Heart: Wild Striker,183,170,1327,11697,627
18,Initial D Fourth Stage,2608,4039,6675,,
19,Monster,1535,13601,239,23283,820
20,Naruto,34572,21,11061,31964,6702
21,One Piece,6702,11061,20,918,223
22,Tennis no Ouji-sama,11771,15,627,28171,11697
23,Ring ni Kakero 1,,,,,
24,School Rumble,4224,853,6347,23289,72
25,Sunabouzu,6,20057,857,30240,567
26,Texhnolyze,790,339,2216,13125,267
27,Trinity Blood,270,6,150,1482,60
28,Yakitate!! Japan,28171,110,6586,12431,3437
29,Zipang,38691,2881,28907,5507,1535
30,Neon Genesis Evangelion,9756,339,165,2001,35849
31,Neon Genesis Evangelion: Death & Rebirth,,,,,
32,Neon Genesis Evangelion: The End of Evangelion,11981,35120,47,2761,441
33,Kenpuu Denki Berserk,1818,267,35120,37521,16498
43,Koukaku Kidoutai,47,13601,339,790,30
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,67,1292,2418,33,570
45,Rurouni Kenshin: Meiji Kenkaku Romantan,6,918,20507,205,249
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,,,,,
47,Akira,43,30,226,32,570
48,.hack//Sign,11757,17265,11759,30,5530
49,Aa! Megami-sama!,201,1222,,,
50,Aa! Megami-sama! (TV),53,195,4063,59,2966
51,Tenshi Kinryouku,7058,104,156,819,155
52,Kidou Tenshi Angelic Layer,19319,232,11103,22273,34427
53,Ai Yori Aoshi,189,50,59,2167,1530
54,Appleseed (Movie),2746,28211,1361,548,
55,Arc the Lad,209,1189,,,
56,Avenger,1230,790,1818,411,
57,Beck,877,12531,3702,5680,1698
58,Blue Gender,11021,953,16498,6610,30
59,Chobits,63,226,27775,5958,5678
60,Chrno Crusade,1482,5530,121,68,27
61,D.N.Angel,142,7592,25517,15613,8310
62,D.C.: Da Capo,79,1581,694,4744,2167
63,DearS,59,5958,241,6166,3455
64,Rozen Maiden,356,98,43439,5112,4898
65,Rozen Maiden: Träumend,98,356,39417,6707,
66,Azumanga Daioh,1887,10165,2963,5680,8557
67,Basilisk: Kouga Ninpou Chou,617,44,1699,618,20
68,Black Cat (TV),2025,132,60,1,6
69,Cluster Edge,16890,5525,,,
71,Full Metal Panic!,1575,2581,1691,218,16524
72,Full Metal Panic? Fumoffu,,,,,
73,Full Metal Panic! The Second Raid,2581,5507,1575,5356,1519
74,Gakuen Alice,1486,1808,6586,2923,5080
75,Soukyuu no Fafner: Dead Aggressor,30,93,165,21437,878
76,Mahou Shoujo Lyrical Nanoha,232,9756,1688,349,11751
77,Mahou Shoujo Lyrical Nanoha A's,9756,93,14829,16049,355
79,Shuffle!,2476,62,2167,1530,7088
80,Mobile Suit Gundam,30,820,1575,2582,237
81,Mobile Suit Gundam: The 08th MS Team,71,40438,31973,35849,1
82,Mobile Suit Gundam 0080: War in the Pocket,3786,34599,,,
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,,,,,
84,Mobile Suit Gundam 0083: Stardust Memory,474,,,,
85,Mobile Suit Zeta Gundam,3927,929,2158,2321,121
86,Mobile Suit Gundam ZZ,2598,48466,10780,,
87,Mobile Suit Gundam: Char's Counterattack,34437,32,820,6336,93
88,Mobile Suit Gundam F91,1215,,,,
89,Mobile Suit Victory Gundam,160,1690,,,
90,Mobile Suit Gundam Wing,1575,71,182,16668,20785
91,Mobile Suit Gundam Wing: Endless Waltz,,,,,
92,After War Gundam X,237,31251,1792,94,1868
93,Mobile Suit Gundam SEED,1575,22729,75,16668,3572
94,Mobile Suit Gundam SEED Destiny,25731,14833,156,37765,6867
95,Turn A Gundam,820,16524,97,1251,182
96,Mobile Fighter G Gundam,2001,2321,5485,168,263
97,Last Exile,237,513,9314,19117,4177
98,Mai-HiME,9756,64,1690,65,2603
99,Mai-Otome,879,9367,98,76,6205
100,Shin Shirayuki-hime Densetsu Prétear,530,721,123,12461,3615
101,Air,1530,2167,1965,4181,2924
102,Aishiteruze Baby??,,,,,
103,Akazukin Chacha,4651,331,233,727,870
104,Ayashi no Ceres,123,51,150,182,16518
105,Boys Be...,2167,145,5150,39710,8676
106,Hana yori Dango,334,853,7054,325,3731
107,Ou Dorobou Jing,486,3588,624,3298,20
108,Ou Dorobou Jing in Seventh Heaven,5538,,,,
109,Bakuretsu Tenshi,5356,889,2030,198,274
110,Chuuka Ichiban!,28171,28,2415,6384,4663
111,Corrector Yui,232,48,,,
112,Chou Henshin Cosprayers,6682,,,,
113,Uchuu no Stellvia,180,8917,5307,1179,30383
114,Sakigake!! Cromartie Koukou,11843,3702,918,32542,582
115,El Hazard: The Alternative World,177,,,,
116,El Hazard: The Wanderers,14765,177,696,2619,
117,El Hazard: The Magnificent World,539,3974,5781,2792,16518
118,El Hazard 2: The Magnificent World,,,,,
119,Final Approach,197,4744,546,79,126
120,Fruits Basket,853,14713,5678,2923,4722
121,Fullmetal Alchemist,1482,1536,2251,3588,60
